term,estimate,std.error,statistic,df,p.value,variable,LCI,UCI,exposure
baseline,17.72961334436171,12.423279914298835,1.4271282194934236,253.06834731689477,0.15477560584645467,Resistin,-6.620015287664007,42.07924197638742,Aerobic Fitness
freq_peak,-12.464672981551962,8.587936753811745,-1.4514164855743183,50.837566851844976,0.1528073040996103,Resistin,-29.29702901902298,4.367683055919057,Aerobic Fitness
drop6to7,-0.6098912085349052,13.005555853779342,-0.04689466681715678,390.3420902083319,0.9626211612064817,Resistin,-26.100780681942414,24.880998264872606,Aerobic Fitness
residual_distance,6.777752671241218e-4,9.311494292095313e-4,0.7278909763167624,41.29994100483901,0.47078716334286685,fast.PC1,-0.0011472776141265594,0.0025028281483748032,Aerobic Fitness
baseline,-1.984145212480115e-5,0.0037479571540774493,-0.00529393781975746,126.67844179971918,0.9957843962585964,fast.PC1,-0.007365837474116601,0.007326154569867,Aerobic Fitness
freq_peak,-0.002871646617104541,0.0022813819851671183,-1.2587311707443785,83.76018304236636,0.21162446844574934,fast.PC1,-0.007343155308032093,0.0015998620738230111,Aerobic Fitness
drop6to7,0.009228677614630731,0.0038188860901590903,2.4165888682598218,248.34451116392188,0.016388460812642336,fast.PC1,0.001743660877918914,0.016713694351342546,Aerobic Fitness
residual_distance,-0.0020522406604226717,9.697466028076333e-4,-2.116264861852546,253.9592221803229,0.03529542365780092,fast.PC2,-0.003952944001925633,-1.515373189197105e-4,Aerobic Fitness
baseline,0.01614656645396991,0.004618509836652787,3.4960554432145488,219.77432344401237,5.711504302112758e-4,fast.PC2,0.007094287174130449,0.025198845733809372,Aerobic Fitness
freq_peak,0.0053712636128735326,0.0029285519644482103,1.8341022041196975,85.91995581832163,0.07010057120232815,fast.PC2,-3.686982374449593e-4,0.011111225463192025,Aerobic Fitness
drop6to7,-0.007825651979269987,0.006018910711866684,-1.300177449690555,43.01098694472105,0.20046452464843423,fast.PC2,-0.01962271697452869,0.003971413015988714,Aerobic Fitness
residual_distance,-1.5716655303098183e-4,9.862060584598876e-4,-0.15936482207016814,75.77254228616214,0.8738054823840895,fast.PC3,-0.0020901304276123617,0.0017757973215503978,Aerobic Fitness
baseline,0.005629236868283899,0.004654520704371967,1.2094127893762265,75.41398361952695,0.23028210348905942,fast.PC3,-0.0034936237122851557,0.014752097448852954,Aerobic Fitness
freq_peak,-0.0011490251203660757,0.0032411760616421485,-0.35450870255530637,30.23480966476295,0.7254184307475469,fast.PC3,-0.007501730201184687,0.0052036799604525345,Aerobic Fitness
drop6to7,0.003391467514007464,0.005215276725734976,0.6502948342649091,56.35139698413486,0.5181443530313457,fast.PC3,-0.006830474868433089,0.013613409896448016,Aerobic Fitness
residual_distance,-0.004006867586054886,0.014603570410708986,-0.2743758870855718,85.49567268392376,0.7844576459592303,adsbp,-0.0326298655910445,0.024616130418934727,Aerobic Fitness
baseline,0.15672183351664187,0.08839199044552819,1.773032066895497,25.44212548341412,0.08819726370798642,adsbp,-0.01652646775659336,0.32997013478987713,Aerobic Fitness
freq_peak,-7.860285795946042e-4,0.037354524580816104,-0.021042392813594508,180.8716971335821,0.9832350337861842,adsbp,-0.07400089675799416,0.07242883959880496,Aerobic Fitness
drop6to7,-0.08587298904883764,0.07718030765509738,-1.1126282293740786,62.33290424019121,0.27014074431784474,adsbp,-0.2371463920528285,0.06540041395515322,Aerobic Fitness
residual_distance,0.009961365365233236,0.007885922053408467,1.2631833408659825,191.25909302353108,0.20806100684770668,addbp,-0.00549504185944736,0.02541777258991383,Aerobic Fitness
baseline,0.1952688158658236,0.04329036641918539,4.510675977537684,51.010216506865845,3.8178857398429855e-5,addbp,0.11041969768422022,0.28011793404742696,Aerobic Fitness
freq_peak,0.0037080123223203983,0.021816195580640144,0.16996603778208316,174.79239702657821,0.8652334061454483,addbp,-0.03905173101573428,0.046467755660375074,Aerobic Fitness
drop6to7,-0.087615947702777,0.04337965842579611,-2.0197472935996053,80.71925561001207,0.046727570631106996,addbp,-0.17264007821733737,-0.002591817188216633,Aerobic Fitness
I(handgrip * 10),0.7103496572648723,1.6463241651206668,0.4314761772404692,977.2450453287678,0.6662173384941386,TC,-2.5164457063716346,3.937145020901379,Muscle Strength
I(handgrip * 10),0.6010469545630234,4.415358717255479,0.13612641532704847,773.7474546880005,0.8917567535524356,TG,-8.053056131257717,9.255150040383763,Muscle Strength
